id,name,symbol,slug,cmc_rank,price,volume_24h,market_cap,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,pull_timestamp
1,Bitcoin,BTC,bitcoin,1,115308.77160948399,55656446458.61802,2294873673557.9194,0.06687839,0.82117106,-2.2165914,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
1027,Ethereum,ETH,ethereum,2,3731.022189132137,30242708231.773933,450370241362.05383,0.38421507,6.46592115,-1.39658842,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
52,XRP,XRP,xrp,3,3.07765176085136,6253739855.304259,182530558375.32828,0.19268285,4.719016,-1.71501359,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
825,Tether USDt,USDT,tether,4,1.0000613936430944,93485768133.47668,163915908274.83218,0.0116446,-0.00523081,0.00401426,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
1839,BNB,BNB,bnb,5,766.4773423105512,1931383546.716307,106761286280.09888,-0.01515817,1.83741828,-7.06869958,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
5426,Solana,SOL,solana,6,168.93944978391735,4927221551.180556,90959184751.70937,0.27030799,4.22173715,-7.83632301,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
3408,USDC,USDC,usd-coin,7,0.9998727768688996,11913666004.310604,64387135306.22241,0.01189301,-0.01653512,-0.0036853,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
74,Dogecoin,DOGE,dogecoin,8,0.21013611266492394,1793445447.143906,31601110508.44893,0.51506531,5.44791175,-7.14660892,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
1958,TRON,TRX,tron,9,0.3325987008743892,674079269.0080019,31500326227.772778,0.03874715,1.66449687,3.76948791,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
2010,Cardano,ADA,cardano,10,0.7551451585394827,892746469.9419519,26745932930.90243,0.11947579,3.97481141,-4.58328872,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
32196,Hyperliquid,HYPE,hyperliquid,12,38.84440206551793,248433670.74157456,12971240484.926643,0.71798368,1.47801846,-10.13709644,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
512,Stellar,XLM,stellar,11,0.415180047142979,548515172.8170807,12972966634.52262,0.39921955,4.46599608,-0.80860816,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
20947,Sui,SUI,sui,13,3.59708069236815,1308194379.2963977,12632675738.516306,0.20000663,4.09114869,-8.62034175,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
1975,Chainlink,LINK,chainlink,14,17.114060705931976,485668160.262185,11605044059.01967,-0.07201003,4.89830422,-5.32921617,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
1831,Bitcoin Cash,BCH,bitcoin-cash,15,574.9184446681469,510453871.0434788,11444863748.985868,2.9269162,5.82836002,0.80251431,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
4642,Hedera,HBAR,hedera,16,0.2524095855734086,484305584.8856928,10700317759.231594,0.07214717,1.59516861,-7.15403457,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
5805,Avalanche,AVAX,avalanche,17,23.068455561929316,558664582.6415629,9741238658.207722,0.68281951,7.76644777,-8.46163124,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
29470,Ethena USDe,USDe,ethena-usde,18,1.0008310802320677,342575552.16955286,9499098272.402306,-0.00091978,-0.01309569,-0.00134828,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
2,Litecoin,LTC,litecoin,19,120.4757219274243,1190604681.116101,9174270136.182701,0.21391081,9.67604124,10.47680481,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
11419,Toncoin,TON,toncoin,20,3.4292779163517917,485732677.25989527,8286817389.515732,0.34823934,-3.99562137,7.23745737,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
3957,UNUS SED LEO,LEO,unus-sed-leo,21,8.92155322509069,1486972.46750522,8234969223.257328,-0.03727402,-0.48811083,-0.54645965,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
5994,Shiba Inu,SHIB,shiba-inu,22,1.2508342563673501e-05,163765348.87433597,7370493495.956898,0.09391259,2.46106572,-6.30876055,2025-08-04 22:54:00+00:00,2025-08-04 22:57:34.670000+00:00
7083,Uniswap,UNI,uniswap,23,9.958501859609862,542927051.4733857,6261306833.087337,0.24442775,8.35769353,-4.56104509,2025-08-04 22:55:00+00:00,2025-08-04 22:57:34.670000+00:00
